user_id,branches_of_interest,tags_followed,active_hours,buddies
stu_0001,"[""AI""]","[""career"", ""events"", ""coding"", ""clubs"", ""design""]","[""08:00-11:00"", ""06:00-09:00""]","[""stu_2638"", ""stu_3432""]"
stu_0002,"[""ECE""]","[""events"", ""clubs"", ""internships"", ""startups""]","[""12:00-14:00"", ""20:00-23:00""]","[""stu_1854"", ""stu_3985""]"
stu_0003,"[""DS""]","[""events"", ""ML"", ""startups"", ""project""]","[""12:00-14:00"", ""08:00-11:00""]","[""stu_2729"", ""stu_1592""]"
stu_0004,"[""CSE"", ""IT""]","[""startups"", ""design"", ""events""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_2005"", ""stu_1704"", ""stu_1226""]"
stu_0005,"[""IT""]","[""design"", ""project"", ""startups"", ""career"", ""ML""]","[""20:00-23:00"", ""06:00-09:00""]","[""stu_1876"", ""stu_4535"", ""stu_1728""]"
stu_0006,"[""Mech"", ""ECE""]","[""design"", ""project"", ""internships""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_4694"", ""stu_1559""]"
stu_0007,"[""IT""]","[""clubs"", ""ML"", ""coding"", ""startups""]","[""06:00-09:00"", ""20:00-23:00""]","[""stu_2821"", ""stu_2435""]"
stu_0008,"[""Mech"", ""CSE""]","[""coding"", ""events"", ""internships""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_4886"", ""stu_0419"", ""stu_2616""]"
stu_0009,"[""IT"", ""ECE""]","[""ML"", ""career"", ""python""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_1555"", ""stu_3231"", ""stu_0755""]"
stu_0010,"[""AI"", ""DS""]","[""career"", ""project"", ""coding"", ""design"", ""startups""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_1037"", ""stu_2705""]"
stu_0011,"[""AI""]","[""career"", ""python"", ""clubs"", ""startups"", ""project""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_1796"", ""stu_2084"", ""stu_4462""]"
stu_0012,"[""ECE""]","[""startups"", ""design"", ""coding"", ""career"", ""events""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_3792"", ""stu_1983"", ""stu_1511""]"
stu_0013,"[""CSE"", ""IT""]","[""coding"", ""python"", ""career"", ""internships"", ""startups""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_1843"", ""stu_0619"", ""stu_0319""]"
stu_0014,"[""IT""]","[""coding"", ""career"", ""startups"", ""ML"", ""events""]","[""12:00-14:00"", ""06:00-09:00""]","[""stu_2102"", ""stu_4923"", ""stu_2004""]"
